ord;;;City;;;FAA;;;IATA;;;ICAO;;;Airport;;;Role;;;Enplanements;;;State;;;Lat;;;Lng
86;;;Fort Myers;;;RSW;;;RSW;;;KRSW;;;Southwest Florida International Airport;;;P-M;;;7205205;;;FLORIDA;;;26.536167;;;-81.755167
277;;;Portland;;;PDX;;;PDX;;;KPDX;;;Portland International Airport;;;P-L;;;7453098;;;OREGON;;;45.588722;;;-122.5975
343;;;Washington, D.C. /Arlington County;;;DCA;;;DCA;;;KDCA;;;Ronald Reagan Washington National Airport;;;P-L;;;8736804;;;VIRGINIA;;;38.852083;;;-77.037722
64;;;San Diego;;;SAN;;;SAN;;;KSAN;;;San Diego International Airport (Lindbergh Field);;;P-L;;;8876777;;;CALIFORNIA;;;32.733556;;;-117.189667
112;;;Honolulu, Oahu;;;HNL;;;HNL;;;PHNL;;;Honolulu International Airport;;;P-L;;;9466995;;;HAWAII;;;21.318681;;;-157.922428
332;;;Salt Lake City;;;SLC;;;SLC;;;KSLC;;;Salt Lake City International Airport;;;P-L;;;9910493;;;UTAH;;;40.788389;;;-111.977772
128;;;Chicago;;;MDW;;;MDW;;;KMDW;;;Chicago Midway International Airport;;;P-L;;;9919985;;;ILLINOIS;;;41.785972;;;-87.752417
85;;;Fort Lauderdale;;;FLL;;;FLL;;;KFLL;;;Fort Lauderdale–Hollywood International Airport;;;P-L;;;11079402;;;FLORIDA;;;26.072583;;;-80.15275
164;;;Baltimore / Glen Burnie;;;BWI;;;BWI;;;KBWI;;;Baltimore/Washington International Thurgood Marshall Airport;;;P-L;;;11134130;;;MARYLAND;;;39.175361;;;-76.668333
344;;;Washington, D.C. /Dulles / Chantilly;;;IAD;;;IAD;;;KIAD;;;Washington Dulles International Airport;;;P-L;;;11276481;;;VIRGINIA;;;38.944533;;;-77.455811
101;;;Tampa;;;TPA;;;TPA;;;KTPA;;;Tampa International Airport;;;P-L;;;13306354;;;FLORIDA;;;27.975472;;;-82.53325
